編號,醫療院所名稱,區別,里別,地址,電話,緯度,經度
94,安田耳鼻喉科診所,北區,和順里,臨安路二段１５１號,06-3583360,23.003331,120.1980688
95,林文雄小兒科診所,北區,和順里,公園南路３５２號,06-2267301,23.0030277,120.2028077
96,嘉鎂診所,北區,長榮里,長榮路５段１２─２號１樓,06-2755437,23.0091928,120.2191767
97,陳冠文內科診所（風典聯合門診）,北區,東興里,小東路１７１號,06-2752882,23.0003076,120.2272826
98,邱外科診所,北區,國姓里,公園路４３５─５號１樓,06-2511916,23.0076926,120.2087167
99,楊宏義小兒科診所,北區,國興里,開元路４２６號,06-2742678,23.0107854,120.2257451
100,永昌診所,北區,勝安里,開元路９５號１樓,06-2374841,23.0065154,120.2174904
101,王克紹診所,北區,裕民里,成功路５１６號,06-2211177,23.0013589,120.1965614
102,芳德診所,北區,裕民里,成功路６０８號１樓,06-2588740,23.0027378,120.1946348
103,蕭震亞診所,北區,賢北里,和緯路５段４６號１樓,06-2808288,23.0066641,120.1850569
104,志誠醫院,北區,興南里,公園路３１５之１號,06-2210423,23.0035276,120.2100545
105,南門蔡內科診所,中西區,大南里,南門路72號1樓,06-2133637,22.9798646,120.203599
106,大安婦幼醫院,中西區,大涼里,金華路三段１６７號１、２、３、４樓,06-2278899,22.9927341,120.192872
107,郭明慧診所,中西區,中正里,中正路324號１樓,06-2264118,22.993652,120.19511
108,郭綜合醫院,中西區,水仙里,民生路2段22號,06-2221111,22.9947575,120.1986977
109,洪敏元耳鼻喉科診所,中西區,民生里,大勇街１１１號,06-2212257,22.9898317,120.1927321
110,陳欽富診所,中西區,民權里,民族路三段９９號,06-2269909,22.998385,120.196672
111,郭重德診所,中西區,永福里,民生路一段９０號,06-2262953,22.9938028,120.2018498
112,李明鎧診所,中西區,永華里,開山路90號,06-2260303,22.9899109,120.2067252
113,陸健邦耳鼻喉科診所,中西區,安海里,金華路3段277號,06-2209888,22.995815,120.193556
114,楊介元診所,中西區,西湖里,和緯路5段129號1、2樓,06-3587769,23.0039948,120.1844261
115,湖美耳鼻喉科診所,中西區,西賢里,湖美街２１５巷９號,06-2801561,23.0036203,120.1796644
116,衛生福利部臺南醫院,中西區,赤嵌里,中山路１２５號,06-2200055,22.9960707,120.2088778
117,永川醫院,中西區,赤嵌里,成功路１６９號,06-2245771,22.9980965,120.2062791
118,康健內兒科診所,中西區,法華里,健康路一段176號,06-2146928,22.9813847,120.2067745
119,紀冠廷診所,中西區,青年里,青年路１１９號,06-2263931,22.992172,120.2084372
120,呂宗禧耳鼻喉科診所,中西區,青年里,民權路１段２６１號１樓,06-2282155,22.9930522,120.2068648
121,沈俊良診所,中西區,青年里,青年路４３、４５號１樓,06-2213257,22.9924118,120.2065857
122,張永昌小兒科診所,中西區,建國里,新美街６６之１號,06-2292360,22.995279,120.20045
123,李朝泰小兒科診所,中西區,普濟里,成功路３１９號,06-2256618,22.9997379,120.2005111
124,吳中心診所,中西區,普濟里,西門路二段３７５號１，２樓,06-2282121,22.9983056,120.2001865
125,永和醫院,中西區,福安里,府前路一段３０４巷２號,06-2231191,22.9902863,120.1988861
126,明德診所,安南區,安和里,安和路1段156號,06-2830034,23.028973,120.214204
127,溫聯合診所,安南區,安東里,安和路一段１６６號１，２樓,06-2562283,23.0334779,120.2169983
128,十二佃診所,安南區,佃東里,海佃路四段388巷107弄22號,06-2465658,23.0664499,120.1757605
129,臺南市立安南醫院-委託中國醫藥大學興建經營,安南區,洲南里,長和路二段６６號,06-3553111,23.0639187,120.2218835
130,董哲樑骨外科診所,安南區,海佃里,海佃路一段２０５號,06-3584688,23.024554,120.191327
131,陳本全家醫科診所,安南區,溪心里,安中路三段41號,06-2558673,23.0472016,120.1828338
132,郭文山家庭醫學婦產科診所,安南區,溪心里,海佃路２段６４８號１樓,06-2560688,23.0439447,120.1863478
133,戴明崑診所,安南區,溪北里,郡安路4段79號,06-2833360,23.0279941,120.210443
134,順安耳鼻喉科診所,安南區,溪北里,安和路1段55號,06-2833973,23.027095,120.21485
135,北安診所,安南區,溪東里,北安路二段１３３號,06-2503006,23.0276283,120.2046778
136,黃義盛小兒科診所,安平區,平安里,民權路四段１４１號１樓,06-2599589,22.9990808,120.1826228
137,慶平美耳鼻喉科診所,安平區,平通里,慶平路５５９號,06-2976670,22.9974211,120.1704508
138,穠田聯合診所,安平區,育平里,永華路二段１０５９號１、２樓,06-2950808,22.99142,120.166097
139,吳國堯小兒科診所,安平區,建平里,文平路４３８號１樓,06-2933358,22.9934441,120.1788428
140,陳建霖內科診所,安平區,建平里,府前路２段６１６號１樓,06-2983577,22.9933357,120.1842965
141,石門診所,安平區,海頭里,安平路21號,06-2242666,22.9990011,120.1678689
142,同心小兒科診所,安平區,華平里,國平路３０６號１樓,06-2959289,22.9918108,120.1713001
143,陽光小兒科診所,安平區,華平里,華平路５０１號１樓,06-2937711,22.9934807,120.1751889
144,許進賢耳鼻喉科診所,永康區,大灣里,民族路３７６號,06-2724321,23.0079709,120.2666503
145,利民內科診所,永康區,正強里,中正路２５８之２號,06-2039513,23.0312606,120.2501116
146,中正耳鼻喉科診所,永康區,正強里,正強路２３１號１、２樓,06-2333566,23.0297194,120.251527
147,永大診所,永康區,永康里,中山路１７號,06-2310932,23.02687,120.256803
148,丞康小兒科診所,永康區,永康里,中山北路３０號,06-2332400,23.0259783,120.2579954
149,李俊杰診所,永康區,永康里,北安路１段１７８號,06-2320399,23.017757,120.2083924
150,佳恩小兒科診所,永康區,永康里,中山南路９８８號,06-2019595,23.0246316,120.2546159
151,奇美醫療財團法人奇美醫院,永康區,甲頂里,中華路９０１號,06-2812811,23.0209835,120.2220415
152,史地分小兒科診所,永康區,安康里,大橋一街５７號,06-3039099,23.0170382,120.2275069
153,蔡尚均小兒科診所,永康區,安康里,中華路６７５之１號,06-3020188,23.0159077,120.2288298
154,仁享診所,永康區,西勢里,富強路一段２０號１、２樓,06-2719351,23.0139621,120.272368
155,滕內科診所,永康區,西灣里,永大路二段215號,06-2715857,23.0078624,120.2618873
156,鄭飛良診所,永康區,南灣里,大灣路728號,06-2733337,23.0007482,120.2612637
157,張大慶耳鼻喉科診所,永康區,崑山里,永大路二段83號,06-2730086,23.003862,120.260487
158,王建章婦產科診所,永康區,勝利里,中華路580號,06-2336605,23.0216003,120.2211903
159,永慶診所,永康區,復國里,復國一路１９８號,06-3133996,23.00641,120.2462126
160,復華耳鼻喉科診所,永康區,復華里,復國一路４６９號,06-2025392,23.0147731,120.2449902
161,張耀仁小兒科診所,永康區,復華里,復國一路４４７號,06-2010199,23.0143605,120.245376
162,高雄榮民總醫院臺南分院,永康區,復興里,復興路４２７號,06-3125101,22.9972963,120.2402196
163,光田診所,永康區,鹽行里,中正路５３５號,06-2425866,23.039482,120.2388461
164,奇美醫療財團法人佳里奇美醫院,佳里區,興化里,６０６號,06-7263333,23.1852076,120.1849082
165,奇美醫療財團法人柳營奇美醫院,柳營區,太康里,２０１號,06-6226999,23.2876668,120.3349024
166,臺灣基督長老教會新樓醫療財團法人麻豆新樓醫院,麻豆區,小埤里,苓子林20號,06-5702228,23.1802283,120.232868
167,陳信宏小兒科診所,麻豆區,新建里,中山路１４５號,06-5719889,23.1835888,120.2448103
168,宏科醫院,善化區,南關里,三民路１－３５號,06-5818868,23.12766,120.2870613
169,誼仁診所,善化區,東關里,中山路３５０號,06-5817267,23.1322872,120.2935195
170,徐小兒科診所,新化區,護國里,中山路１９３號１樓,06-5901995,23.0366622,120.3102133
171,陳相國聯合診所,新化區,清水里,中山路４８９號,06-5908878,23.0357698,120.3031575
172,衛生福利部臺南醫院新化分院,新化區,那拔里,那拔里牧場７２號,06-5911929,23.053697,120.3377852
173,衛生福利部新營醫院,新營區,忠政里,忠政里信義街７３號,06-6351131,23.315579,120.314
174,台南科學工業園區聯合診所,新市區,豐華里,南科3路7號1樓,06-5050225,23.096033,120.2850324
175,洪志旺耳鼻喉科診所,歸仁區,後市里,中山路二段３０號,06-3305903,22.96692,120.2931255
176,懷仁內科診所,歸仁區,歸仁里,中山路一段530號,06-2303995,22.9666385,120.2957175
177,啟仁診所,歸仁區,歸仁里,中山路１段５３８號,06-2301858,22.9666612,120.2955742
178,德欣內科診所,歸仁區,南保里,中山路３段７２號,06-2397699,22.9675834,120.2862289
179,順安診所,學甲區,仁得里,建國路１２１號,06-7822389,23.230457,120.17863
180,民生診所,六甲區,六甲里,中正路531號,06-6986015,23.2304107,120.3513946
181,佳安小兒科,新市區,新市里,中正路３３１－１號,06-5995234,23.0798267,120.294495
